<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100505,21:40,1166.5000000,1166.7500000,1166.5000000,1166.5000000,263
20100505,21:45,1166.5000000,1166.7500000,1166.2500000,1166.2500000,120
20100505,21:50,1166.2500000,1167.0000000,1166.2500000,1166.7500000,323
20100505,21:55,1166.7500000,1167.2500000,1166.7500000,1167.0000000,613
20100505,22:00,1167.0000000,1167.2500000,1166.7500000,1166.7500000,430
20100505,22:05,1167.0000000,1167.0000000,1166.7500000,1167.0000000,198
20100505,22:10,1167.0000000,1167.0000000,1166.5000000,1167.0000000,138
20100505,22:15,1167.0000000,1167.0000000,1166.2500000,1166.2500000,501
20100505,22:20,1166.0000000,1166.0000000,1165.5000000,1165.7500000,652
20100505,22:25,1165.7500000,1166.0000000,1165.5000000,1165.7500000,209
20100505,22:30,1165.7500000,1166.0000000,1165.7500000,1165.7500000,63
20100505,22:35,1166.0000000,1166.2500000,1165.7500000,1166.0000000,200
20100505,22:40,1166.0000000,1166.7500000,1166.0000000,1166.5000000,271
20100505,22:45,1166.7500000,1166.7500000,1166.5000000,1166.7500000,151
20100505,22:50,1166.7500000,1167.0000000,1166.5000000,1166.5000000,287
20100505,22:55,1166.5000000,1166.7500000,1165.7500000,1166.0000000,376
20100505,23:00,1166.0000000,1166.0000000,1165.5000000,1165.7500000,384
20100505,23:05,1165.7500000,1166.0000000,1165.2500000,1165.2500000,462
20100505,23:10,1165.2500000,1165.7500000,1165.0000000,1165.2500000,934
20100505,23:15,1165.2500000,1165.5000000,1165.0000000,1165.2500000,444
20100505,23:20,1165.2500000,1165.2500000,1164.5000000,1164.7500000,547
20100505,23:25,1164.5000000,1164.7500000,1164.2500000,1164.7500000,973
20100505,23:30,1164.7500000,1164.7500000,1164.0000000,1164.2500000,504
20100505,23:35,1164.2500000,1164.2500000,1164.0000000,1164.0000000,960
20100505,23:40,1164.0000000,1164.5000000,1164.0000000,1164.5000000,429
20100505,23:45,1164.5000000,1164.7500000,1164.2500000,1164.5000000,349
20100505,23:50,1164.7500000,1164.7500000,1164.5000000,1164.5000000,87
20100505,23:55,1164.7500000,1165.0000000,1164.5000000,1164.5000000,280
20100506,00:00,1164.5000000,1164.7500000,1164.5000000,1164.7500000,39
20100506,00:05,1164.7500000,1164.7500000,1164.5000000,1164.5000000,64
20100506,00:10,1164.7500000,1165.0000000,1164.5000000,1164.5000000,196
20100506,00:15,1164.7500000,1164.7500000,1164.0000000,1164.2500000,1069
20100506,00:20,1164.0000000,1164.2500000,1164.0000000,1164.0000000,86
20100506,00:25,1164.0000000,1164.5000000,1164.0000000,1164.0000000,634
20100506,00:30,1164.2500000,1164.5000000,1164.2500000,1164.2500000,162
20100506,00:35,1164.2500000,1164.5000000,1164.0000000,1164.0000000,285
20100506,00:40,1164.0000000,1164.5000000,1164.0000000,1164.2500000,201
20100506,00:45,1164.5000000,1165.0000000,1164.2500000,1165.0000000,654
20100506,00:50,1165.0000000,1165.0000000,1164.0000000,1164.0000000,931
20100506,00:55,1164.0000000,1164.5000000,1164.0000000,1164.5000000,477
20100506,01:00,1164.5000000,1164.5000000,1164.2500000,1164.2500000,131
20100506,01:05,1164.2500000,1165.2500000,1164.0000000,1164.5000000,1536
20100506,01:10,1164.7500000,1164.7500000,1164.2500000,1164.5000000,755
20100506,01:15,1164.5000000,1164.5000000,1163.7500000,1164.0000000,1765
20100506,01:20,1163.7500000,1164.0000000,1163.5000000,1163.7500000,1833
20100506,01:25,1163.5000000,1164.0000000,1163.5000000,1163.7500000,1437
20100506,01:30,1163.5000000,1163.7500000,1163.0000000,1163.2500000,2726
20100506,01:35,1163.2500000,1163.5000000,1162.2500000,1162.2500000,5261
20100506,01:40,1162.5000000,1162.5000000,1161.2500000,1161.2500000,7017
20100506,01:45,1161.5000000,1162.5000000,1161.5000000,1162.0000000,2083
20100506,01:50,1161.7500000,1162.2500000,1161.2500000,1161.5000000,1932
20100506,01:55,1161.2500000,1161.5000000,1160.5000000,1160.5000000,4106
20100506,02:00,1160.5000000,1161.0000000,1159.2500000,1159.5000000,4224
20100506,02:05,1159.7500000,1160.2500000,1158.0000000,1160.0000000,8750
20100506,02:10,1160.0000000,1160.7500000,1159.7500000,1160.5000000,5444
20100506,02:15,1160.7500000,1161.7500000,1160.2500000,1160.2500000,7243
20100506,02:20,1160.0000000,1160.2500000,1158.5000000,1158.7500000,8550
20100506,02:25,1159.0000000,1160.5000000,1159.0000000,1160.2500000,5106
20100506,02:30,1160.0000000,1162.5000000,1159.7500000,1162.2500000,6845
20100506,02:35,1162.2500000,1162.7500000,1160.7500000,1161.0000000,4950
20100506,02:40,1161.2500000,1162.7500000,1160.2500000,1161.7500000,5079
20100506,02:45,1161.7500000,1162.7500000,1161.2500000,1162.0000000,3124
20100506,02:50,1162.0000000,1164.7500000,1162.0000000,1164.5000000,5825
20100506,02:55,1164.7500000,1166.0000000,1164.2500000,1165.7500000,5253
20100506,03:00,1165.5000000,1166.5000000,1165.2500000,1165.5000000,5644
20100506,03:05,1165.2500000,1166.2500000,1164.2500000,1164.7500000,3895
20100506,03:10,1164.7500000,1165.2500000,1163.0000000,1163.7500000,4543
20100506,03:15,1163.7500000,1164.2500000,1163.0000000,1164.0000000,2052
20100506,03:20,1164.0000000,1164.2500000,1163.5000000,1164.0000000,2526
20100506,03:25,1163.7500000,1165.2500000,1163.5000000,1165.0000000,2761
20100506,03:30,1165.2500000,1166.0000000,1164.5000000,1166.0000000,3350
20100506,03:35,1166.0000000,1167.0000000,1165.7500000,1166.7500000,4766
20100506,03:40,1166.7500000,1167.7500000,1166.2500000,1166.5000000,4229
20100506,03:45,1166.5000000,1167.5000000,1166.2500000,1166.7500000,2858
20100506,03:50,1166.5000000,1167.2500000,1165.5000000,1167.2500000,5091
20100506,03:55,1167.2500000,1167.2500000,1165.5000000,1167.2500000,4231
20100506,04:00,1167.2500000,1167.7500000,1166.7500000,1167.5000000,2914
20100506,04:05,1167.2500000,1167.7500000,1166.7500000,1167.0000000,5462
20100506,04:10,1167.0000000,1168.0000000,1166.7500000,1167.5000000,4686
20100506,04:15,1167.5000000,1167.7500000,1167.0000000,1167.2500000,2071
20100506,04:20,1167.5000000,1167.7500000,1167.0000000,1167.2500000,1430
20100506,04:25,1167.2500000,1167.2500000,1165.5000000,1165.7500000,2701
20100506,04:30,1165.5000000,1165.7500000,1164.7500000,1165.2500000,3367
20100506,04:35,1165.2500000,1166.5000000,1165.0000000,1165.2500000,2107
20100506,04:40,1165.2500000,1165.7500000,1164.7500000,1165.0000000,2796
20100506,04:45,1165.2500000,1165.5000000,1165.0000000,1165.2500000,1081
20100506,04:50,1165.5000000,1166.0000000,1165.2500000,1165.7500000,1619
20100506,04:55,1165.5000000,1166.2500000,1165.2500000,1165.5000000,1132
20100506,05:00,1165.5000000,1166.5000000,1165.0000000,1166.5000000,1531
20100506,05:05,1166.7500000,1168.2500000,1166.7500000,1168.0000000,5790
20100506,05:10,1168.2500000,1168.5000000,1167.5000000,1168.0000000,6386
20100506,05:15,1168.0000000,1168.2500000,1167.5000000,1167.7500000,1789
20100506,05:20,1167.7500000,1168.5000000,1167.7500000,1168.0000000,2298
20100506,05:25,1168.0000000,1168.2500000,1167.2500000,1168.0000000,3476
20100506,05:30,1168.0000000,1168.5000000,1167.5000000,1168.2500000,1585
20100506,05:35,1168.2500000,1168.5000000,1168.0000000,1168.5000000,2534
20100506,05:40,1168.5000000,1168.5000000,1167.7500000,1168.2500000,1926
20100506,05:45,1168.2500000,1168.5000000,1168.0000000,1168.0000000,483
20100506,05:50,1168.0000000,1168.5000000,1167.5000000,1168.5000000,1551
20100506,05:55,1168.5000000,1168.5000000,1168.0000000,1168.2500000,1505
20100506,06:00,1168.5000000,1168.7500000,1168.2500000,1168.5000000,1417
20100506,06:05,1168.2500000,1168.7500000,1167.7500000,1167.7500000,2644
20100506,06:10,1167.7500000,1168.0000000,1166.5000000,1166.5000000,2248
20100506,06:15,1166.5000000,1167.0000000,1165.7500000,1167.0000000,4720
