<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/05/10,04:01:00,1172.5000000,1172.5000000,1171.7500000,1172.0000000,510
05/05/10,04:02:00,1172.2500000,1172.5000000,1172.2500000,1172.5000000,319
05/05/10,04:03:00,1172.5000000,1172.7500000,1172.2500000,1172.5000000,368
05/05/10,04:04:00,1172.5000000,1172.7500000,1172.0000000,1172.0000000,798
05/05/10,04:05:00,1172.2500000,1172.2500000,1171.7500000,1172.0000000,609
05/05/10,04:06:00,1172.0000000,1172.2500000,1171.7500000,1172.2500000,461
05/05/10,04:07:00,1172.0000000,1173.0000000,1172.0000000,1172.7500000,1618
05/05/10,04:08:00,1172.7500000,1173.2500000,1172.7500000,1173.2500000,657
05/05/10,04:09:00,1173.0000000,1173.2500000,1173.0000000,1173.0000000,1101
05/05/10,04:10:00,1173.0000000,1173.2500000,1173.0000000,1173.2500000,683
05/05/10,04:11:00,1173.5000000,1173.5000000,1173.0000000,1173.0000000,157
05/05/10,04:12:00,1173.2500000,1173.2500000,1172.7500000,1173.0000000,220
05/05/10,04:13:00,1173.0000000,1173.0000000,1173.0000000,1173.0000000,112
05/05/10,04:14:00,1173.0000000,1173.0000000,1173.0000000,1173.0000000,191
05/05/10,04:15:00,1173.0000000,1173.0000000,1172.7500000,1173.0000000,287
05/05/10,04:16:00,1172.7500000,1172.7500000,1172.5000000,1172.7500000,784
05/05/10,04:17:00,1173.0000000,1173.0000000,1172.5000000,1173.0000000,388
05/05/10,04:18:00,1173.0000000,1173.0000000,1172.5000000,1172.5000000,432
05/05/10,04:19:00,1172.7500000,1172.7500000,1172.5000000,1172.5000000,168
05/05/10,04:20:00,1172.7500000,1173.0000000,1172.5000000,1173.0000000,1639
05/05/10,04:21:00,1173.0000000,1173.2500000,1172.7500000,1172.7500000,357
05/05/10,04:22:00,1172.7500000,1173.2500000,1172.7500000,1173.0000000,423
05/05/10,04:23:00,1173.2500000,1173.7500000,1173.0000000,1173.2500000,600
05/05/10,04:24:00,1173.2500000,1173.5000000,1173.2500000,1173.2500000,383
05/05/10,04:25:00,1173.2500000,1173.5000000,1173.2500000,1173.2500000,56
05/05/10,04:26:00,1173.2500000,1173.5000000,1173.2500000,1173.5000000,451
05/05/10,04:27:00,1173.5000000,1173.7500000,1173.2500000,1173.7500000,548
05/05/10,04:28:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,359
05/05/10,04:29:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,89
05/05/10,04:30:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,152
05/05/10,04:31:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,188
05/05/10,04:32:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,233
05/05/10,04:33:00,1173.7500000,1174.0000000,1173.5000000,1174.0000000,1694
05/05/10,04:34:00,1174.0000000,1174.0000000,1173.7500000,1174.0000000,353
05/05/10,04:35:00,1174.0000000,1174.5000000,1173.7500000,1174.2500000,1299
05/05/10,04:36:00,1174.5000000,1174.5000000,1174.2500000,1174.5000000,276
05/05/10,04:37:00,1174.5000000,1174.5000000,1174.0000000,1174.0000000,998
05/05/10,04:38:00,1174.0000000,1174.0000000,1173.5000000,1173.5000000,530
05/05/10,04:39:00,1173.5000000,1173.7500000,1173.5000000,1173.5000000,505
05/05/10,04:40:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,403
05/05/10,04:41:00,1173.5000000,1173.7500000,1173.2500000,1173.7500000,383
05/05/10,04:42:00,1173.7500000,1173.7500000,1173.5000000,1173.7500000,190
05/05/10,04:43:00,1173.7500000,1174.0000000,1173.7500000,1173.7500000,266
05/05/10,04:44:00,1173.7500000,1174.5000000,1173.7500000,1174.2500000,705
05/05/10,04:45:00,1174.2500000,1174.5000000,1174.2500000,1174.5000000,397
05/05/10,04:46:00,1174.5000000,1174.5000000,1174.0000000,1174.0000000,304
05/05/10,04:47:00,1174.0000000,1174.5000000,1174.0000000,1174.2500000,574
05/05/10,04:48:00,1174.2500000,1174.5000000,1174.2500000,1174.5000000,96
05/05/10,04:49:00,1174.2500000,1174.7500000,1174.2500000,1174.5000000,564
05/05/10,04:50:00,1174.2500000,1174.5000000,1174.0000000,1174.0000000,383
05/05/10,04:51:00,1174.0000000,1174.0000000,1173.7500000,1174.0000000,685
05/05/10,04:52:00,1174.0000000,1174.0000000,1173.7500000,1173.7500000,50
05/05/10,04:53:00,1174.0000000,1174.0000000,1173.2500000,1173.5000000,261
05/05/10,04:54:00,1173.5000000,1173.7500000,1173.2500000,1173.2500000,517
05/05/10,04:55:00,1173.2500000,1173.2500000,1173.0000000,1173.2500000,624
05/05/10,04:56:00,1173.2500000,1173.7500000,1173.0000000,1173.5000000,222
05/05/10,04:57:00,1173.2500000,1173.5000000,1173.2500000,1173.5000000,151
05/05/10,04:58:00,1173.5000000,1174.0000000,1173.2500000,1173.7500000,855
05/05/10,04:59:00,1173.7500000,1174.2500000,1173.7500000,1174.2500000,762
05/05/10,05:00:00,1174.2500000,1174.5000000,1174.2500000,1174.2500000,535
05/05/10,05:01:00,1174.5000000,1174.5000000,1174.2500000,1174.5000000,399
05/05/10,05:02:00,1174.2500000,1174.5000000,1174.2500000,1174.2500000,226
05/05/10,05:03:00,1174.5000000,1174.5000000,1174.2500000,1174.5000000,251
05/05/10,05:04:00,1174.5000000,1174.7500000,1174.2500000,1174.7500000,1165
05/05/10,05:05:00,1174.5000000,1175.0000000,1174.5000000,1175.0000000,837
05/05/10,05:06:00,1174.7500000,1174.7500000,1174.0000000,1174.5000000,1389
05/05/10,05:07:00,1174.5000000,1174.7500000,1174.0000000,1174.5000000,488
05/05/10,05:08:00,1174.5000000,1174.7500000,1174.2500000,1174.2500000,383
05/05/10,05:09:00,1174.0000000,1174.0000000,1173.7500000,1173.7500000,571
05/05/10,05:10:00,1173.5000000,1174.0000000,1173.5000000,1173.7500000,279
05/05/10,05:11:00,1173.7500000,1174.0000000,1173.7500000,1174.0000000,430
05/05/10,05:12:00,1174.0000000,1174.0000000,1173.7500000,1173.7500000,314
05/05/10,05:13:00,1173.7500000,1173.7500000,1173.5000000,1173.7500000,264
05/05/10,05:14:00,1173.7500000,1174.0000000,1173.5000000,1173.5000000,384
05/05/10,05:15:00,1173.5000000,1173.7500000,1173.2500000,1173.5000000,222
05/05/10,05:16:00,1173.5000000,1173.5000000,1173.5000000,1173.5000000,195
05/05/10,05:17:00,1173.7500000,1174.0000000,1173.2500000,1174.0000000,660
05/05/10,05:18:00,1174.0000000,1174.5000000,1173.7500000,1174.2500000,1218
05/05/10,05:19:00,1174.5000000,1174.5000000,1173.2500000,1173.5000000,647
05/05/10,05:20:00,1173.7500000,1173.7500000,1172.7500000,1172.7500000,874
05/05/10,05:21:00,1172.7500000,1173.0000000,1172.5000000,1172.7500000,615
05/05/10,05:22:00,1173.0000000,1173.0000000,1172.5000000,1172.5000000,437
05/05/10,05:23:00,1172.7500000,1173.0000000,1172.5000000,1172.7500000,615
05/05/10,05:24:00,1172.5000000,1173.0000000,1172.2500000,1173.0000000,1956
05/05/10,05:25:00,1173.0000000,1173.2500000,1172.5000000,1172.5000000,1494
05/05/10,05:26:00,1172.5000000,1172.7500000,1172.5000000,1172.7500000,392
05/05/10,05:27:00,1173.0000000,1173.0000000,1172.2500000,1172.5000000,427
